Satellite;Distance Satellite/Saturne (km)
S/2009 S 1;117000
Pan;133583
Daphnis;136500
Atlas;137670
Prométhée;139353
Pandore;141700
Épiméthée;151410
Janus;151460
Égéon;167500
†Mimas;185520
Méthone;194440
Anthée;197700
Pallène;212280
†Encelade;238020
†Téthys;294660
Télesto;294660
Calypso;294660
†Dioné;377400
Hélène;377400
Pollux;377200
†Rhéa;527040
♠Titan;1221830
†Hypérion;1481100
†Japet;3561300
‡Kiviuq;11110000
‡Ijiraq;11120000
♣†Phœbé;12944000
‡Paaliaq;15200000
♣Skathi;15540000
♦Albiorix;16180000
♣S/2007 S 2;16730000
♦Bebhionn;17120000
♦Erriapus;17340000
‡Siarnaq;17530000
♣Skoll;17670000
♦Tarvos;17980000
‡Tarqeq;18010000
♣Greip;18210000
♣S/2004 S 13;18400000
♣Hyrrokkin;18440000
♣Mundilfari;18690000
♣Jarnsaxa;18810000
♣S/2006 S 1;18980000
♣S/2007 S 3;18980000
♣Narvi;19010000
♣Bergelmir;19340000
♣S/2004 S 17;19450000
♣Suttungr;19460000
♣Hati;19860000
♣S/2004 S 12;19890000
♣Bestla;20130000
♣Farbauti;20390000
♣Thrymr;20470000
♣Æegir;20740000
♣S/2004 S 7;21000000
♣S/2006 S 3;22100000
♣Kari;22120000
♣Fenrir;22450000
♣Surtur;22710000
♣Ymir;23040000
♣Loge;23070000
♣Fornjot;25110000
