Objet;Rayon (km);Distance Objet/Soleil (km);Nombre de satellites;Vitess orbitale (km/s);Masse (kg)
Soleil;696342;0;9;0;2-10-30
Mercure;2439.7;57910000;0;47.5;330-10-21
Vénus;6051.8;108200000;0;35;4871-10-21
Terre;6371.008;149600000;1;29.8;5974-10-21
Mars;3389.5;227900000;2;24.1;641-10-21
Jupiter;69911;778500000;67;13;1899000-10-21
Saturne;58232;1429000000;62;10;586000-10-21
Uranus;25559;2871000000;27;7;88760-10-21
Neptune;24622;4498000000;14;5.5;103000-10-21
Pluton;1185;5906380000;5;4.74;13-20-21
